restaurant_name,name,description,address,url,img_1,img_2,img_3,img_4,img_5,種類_中,種類_日,種類_法,種類_泰,種類_美,種類_西,種類_韓,類型_咖啡,類型_地方,類型_小吃,類型_居酒,類型_火鍋,類型_甜點,類型_聚餐,類型_茶館,類型_酒吧,類型_餐酒,氛圍_安靜,氛圍_家庭,氛圍_時尚,氛圍_浪漫,氛圍_熱鬧,氛圍_約會,氛圍_聚餐,氛圍_舒適
八寶彬圓仔惠 (國華街),yuan-zai-hui-guohua-street,傳承三代、歷經五十多年的傳統剉冰店，店名由店主夫婦的名字與他們的得意之作組合而成。剉冰可自選五種配料，選項達十餘種，各種均每天新鮮自家製作，味美非常，難怪一年四季都深受顧客喜愛。其中口感扎實的圓仔為客人熱點，熬至鬆鬆軟軟的蜜芋頭，和猶如小冰塊的粉角也同樣可口。,"中西區國華街二段99號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/yuan-zai-hui-guohua-street,c367846b71234e468ca1b93624530d46.jpeg,6f70ee3fbff847d2bc11dc9fa9bc8d8b.jpeg,4ce7d328711c46f0859079b0d299b0c7.jpg,883c3d7d3def460ba6589089a218ebb0.jpeg,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
昶鴻麵點,chang-hung-noodles,開業近半世紀，以招牌湯麵及古早風味的菊花肉麵最受歡迎。小菜中，白斬土雞及豬尾巴為熱門之選。,"萬華區華西街15號171號攤 (華西街夜市), Taipei, 108, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/chang-hung-noodles,d1e9cfc008274fe5bb2c1bd2d8fe2a94.jpeg,62168c9f758d4f05a55a55ae8652c9e8.jpeg,ae25be764b8343f8a6c4d2cb85d5b4a5.jpeg,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
蘇來傳,su-lai-chuan,開業至今已有70年，承傳三代，供應肉圓、芋粿和湯品。店面乾淨明亮，並將懷舊物件陳列其中。形似杯子的肉圓以每日現磨的在來米糊製成，並以油泡保留其彈性，內餡是豬胛心肉、香菇、栗子等，加上店家自製的黑醬，鹹甜交織，口味獨特。建議添加蒜泥或生辣醬，令味道更濃郁，也不妨搭配熱騰騰的四神湯。,"萬華區和平西路三段176巷4號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/su-lai-chuan,bce6f85f8d7a45a7b425451ea24cf8b2.jpeg,f7ccb562027f49abaca57886df4b1f64.jpeg,f09a3dd056c84488bd6855fdf26a7b4b.jpeg,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
波記食堂,paul-s-canteen,餐廳由澳門移居高雄的主廚兼經營者開設，他擁有三十年掌廚經驗，擅於運用每日新鮮採購的食材，與其在澳門習得的烹飪技法相結合。菜色以臺菜為主軸，調味比較淡雅，其中季節性的菠菜番茄炒蛋色澤鮮艷，帶有胡椒辛香，滋味清爽。用餐環境氣氛輕鬆，適合朋友聚餐，亦歡迎客人自帶酒水，建議提前訂位。,"苓雅區四維三路162號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/paul-s-canteen,61f2a2efbf684a1b9b4d2729feaee326.jpeg,fd98cbc7e8f34ae78297259dfd3c7e8a.jpeg,7861fb8ff6584d969c3a171492696251.jpeg,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Mume,mume,名稱在拉丁文解作梅花，像在呼應著餐盤上林林總總的花卉和香草。主廚精於北歐烹調技巧，單一價格套餐融合了在地時令食材，並以各式花草與香草油點綴，每道菜色都宛若圖畫。餐廳門面低調而富型格，店內雖然燈光暗淡，用餐氣氛卻輕鬆友善。不妨搭配一杯帶有臺灣風味的雞尾酒佐餐。,"大安區四維路28號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/mume,59f9d3581b1b46be9445ee08c78179da.jpg,657b45b4877e485d8b0b0b95be30c9d9.jpeg,2ebbde4ec0d448ab946e0ac3cc5154f6.jpg,bd9008ae91c742bd975c0e585a2e8687.jpg,b6db7a7e1a8a4673b69bd147ae9a73b5.jpeg,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
巷子龍家常菜,talking-heads,前身是談話頭餐廳，三十餘年間多次搬遷，於2019年搬到現址，並改以店東名字諧音為名。餐室小巧而菜單精簡，但每一道都是招牌。其湖南與江浙家常菜，標榜不勾芡、不使用味精，並以每天採買的漁獲與食材，推出當日菜色。推薦湖南金錢蛋、無錫排骨與上海菜飯。服務親切，氣氛猶如回家用餐般自在，更歡迎自帶酒水。,"大安區四維路25號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/talking-heads,29cc6d65013c436b9a26850b9d5d8198.jpeg,3c7a6429c027448ba40e4d9678fa6394.jpeg,83ce865c00b04a4e87c425384fceee4d.jpeg,15aab4b846b9401a8839b915e0cf2e12.jpeg,7731fe2511d044ed9ba69f1f78819539.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
驥園川菜,gi-yuan,饕客來到驥園，都是為了一嚐那招牌砂鍋雞湯！此菜做法耗時，先用老母雞熬製十小時成高湯，再放入新鮮土雞肉、火腿、干貝與豬腳熬煮兩小時，湯色乳白且味道香濃。菜單上除了常見川菜如乾煸四季豆、宮保雞丁外，廚師更以多種食材搭配不同料理手法，如豆酥、麻辣、京醬肉絲等，口味多元。餐廳人潮不絕，建議提前訂位。,"大安區敦化南路一段324號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/gi-yuan,8fbd66bde9714684b8a7360051a6dc50.jpeg,80ce62378ba9459c99cfecd1f5b73d32.jpeg,b3c9cfb6bab44f3d9c0de2d2bbc31daf.jpeg,,,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Tutto Bello,tutto-bello,來自香港的主廚兼老闆移居臺灣逾三十年，具天賦的他以上乘的材料和恰到好處的烹調技巧，將經典義大利菜色演化為外表精緻又時尚的菜餚，推薦檸檬辣椒烘菌菇、煎干貝和手工義大利麵條等。團隊致力令每個環節都完美無瑕，酒單羅列不少法國和義國名釀，所選用的酒杯款式多樣，盡顯心思。,"中山區雙城街25巷15號, Taipei, 104, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/tutto-bello,598f8ced29764abe9ddbd772bef23a32.jpg,1a8f1df78fcd4f4cb1ca48d36193d1fb.jpg,c9396d3e77ce4cada43d18f40f2f43ec.jpeg,aedf479f4ad04f79aab2282889074aed.jpeg,f5a52939a9f8408f97ae86c6ac4f3e86.jpeg,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
老山東牛肉家常麵店,lao-shan-dong-homemade-noodles,於1949年開業，以其手工刀切麵條和牛肉湯俘擄了不少食客的心。牛肉麵湯頭以臺灣牛骨及十種特調的中藥材熬製；現切麵條口感彈牙，吸附滿滿紅燒湯汁，佐以本地與澳洲滷牛肉，滋味十足。每款小菜均當天現做，其中山東泡菜脆口清爽；豬頭肉晶凍以細火慢燉六小時而成，晶瑩剔透，均是熱門之選。,"萬華區西寧南路70號B1之15室 (萬年商業大樓), Taipei, 108, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/lao-shan-dong-homemade-noodles,88d6b844b1d443e0acf4d65696945397.jpeg,5ab97c241e4e4e4f85beb1e5d3ff5ea8.jpeg,ef62d07b3fe045cea2ee7e9cf9af08fd.jpeg,c43539349bce46bfac673d42c884c2be.jpeg,3e8b1348fadf4d358d72902577fb5b36.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
菜粽李,caizong-li,雖然已在高雄飄香一甲子，店面環境卻依然保持整潔明亮。招牌菜粽每天手工現包，糯米軟糯可口，花生則顆粒飽滿，配上自製的醬料、辣椒醬與花生粉同吃，用料簡單卻滋味無窮。亦推薦搭配樸實味美的海帶味噌湯享用。店家亦販售冷藏菜粽供客人帶回家自煮，如遇節慶宜提前預訂。,"苓雅區成功一路159號, Kaohsiung, 80249, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/caizong-li,60f273eaf57e4da59504cfab79d77aa5.jpeg,8ac61fc4944e4486905d5d1dfd3c52b2.jpeg,3aa32805b47b4ee4bdb0b56ab835cde8.jpeg,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
真的好海鮮,really-good-seafood,餐廳歷史悠久，店如其名，提供種類繁多的上乘海鮮，是本地人宴請與商務聚會的熱門場所。備有不同價位的個人套餐，但建議親自到魚缸前挑選時令海鮮，並由服務人員介紹最合適的烹調方式和點餐分量。野生烏魚子、竹筍沙拉、鹽焗處女蟳均是推薦菜色。店家亦有販售花枝丸、烏魚子等產品。,"大安區復興南路一段222號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/really-good-seafood,3a6abfae803e49ddb1ddb9ec3d2c9385.jpeg,cf279e3ebf9e487b8030e296512f2acc.jpeg,b930cee9565e459a8a998bf3c66dd41e.jpeg,989711744ee546918f7b6357ec50f880.jpeg,62a59f22ff4a4a70aa13db2adcc56b21.jpeg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
潔,isagi,餐廳建築風雅怡人，自成一景，從落地玻璃窗可飽覽庭園的整片綠蔭。分別由三位日籍師傅負責生食、熱菜及甜點，提供兩種不同價位的基本日式套餐，菜色以福岡風格為基礎，融合日本與在地食材。米飯料理以日本新瀉米搭配時令食材，用土鍋煮至粒粒分明，令人齒頰留香。亦可預約份量更豐富的主廚或板前套餐。,"西區存中街29號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/isagi,543bf2a0717d48278676702dbd4c55b2.jpeg,685c51e488d7429282291680ce58721d.jpeg,71612402f3d24b5b969e66a835ba031b.jpeg,9a1105295f09402ea07a10f7170b0317.jpeg,bb0539d158474eda94d80b7bc77efc2e.jpeg,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
台中肉員,taichung-meatball,提起臺中人心目中的銅板美食，台中肉員必定榜上有名。創立於1933年，在悠長歲月裡，為許多在地人提供世代傳承的滋味。店內僅售三種食品，分別是肉圓、魚丸湯與冬粉湯。油泡肉員皮薄軟嫩，加了胡椒的豬肉餡料，搭配甜醬與醬油膏，讓人齒頰留香。魚丸湯湯頭清香，魚丸入口爽脆，口味簡樸但非常實在。,"南區復興路三段529號, Taichung, 402, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/taichung-meatball,0c52179038974f3298f53338b80c1465.jpeg,5e85492dc0fb4b0282976d329c320a3f.jpeg,6424ae7ad52149438a9fc5952c9bfee9.jpeg,1645e6dda1574b7a8c0ee3b0aaa107f0.jpeg,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
吾旺再季,wu-wang-tsai-chi,松青潤餅易名後搬至巷弄之內，繼續提供包著紅燒肉、素排骨酥等餡料的潤餅，滋味依然。,"中正區中華路二段313巷29號 (南機場夜市), Taipei, 100, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/wu-wang-tsai-chi,f4c030f83ee144f995aacb5bd338599d.jpeg,830f3988504541e886fb30870b25f680.jpeg,,,,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
橡木炙烤牛排館,meatgq,環境寬敞雅致，引人注目的熟成玻璃室設於中央位置。菜單網羅不同部位的牛排，分別來自美國、澳洲及日本，亦有自家乾式熟成品項，搭配龍眼木烤製，讓肉香氤氳滿室。為增添新意，餐廳會不定期更新前菜品項。友善的服務團隊會詳盡解釋牛排種類、口感，並提出熟度建議，助客人根據喜好作出選擇。,"南屯區益豐路四段699號, Taichung, 408, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/meatgq,a15d078ebccb42e2a24433c7ff6b2afc.jpeg,42b397740a9441be8d6b7df1119300b5.jpeg,a126ceffb77843e4940769ee5f91076b.jpeg,3a366bca7c4e45758cb7c302be4262ce.jpeg,b9c141648652483e89ea8ecf8404c1d7.jpeg,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
頤宮,le-palais,環境雅致舒適，不論是瓷器或仿古書畫，還是餐墊上對應時令的詩詞，處處展現古典氛圍。雖然雙主廚自2023年春季起已成絕響，留任的香港主廚仍致力為賓客帶來精美的廣東佳餚，先知鴨、火焰片皮鴨，以及古法冬瓜帽等仍深受歡迎。此外，金銀蛋蒜香莧菜餃賣相和滋味俱佳，適合作為前菜，開啟這場精彩饗宴。建議預訂招牌菜色。,"大同區承德路一段3號17樓 (君品酒店), Taipei, 103, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/le-palais,fc5645661a824e9f8854c7bc351f191f.jpg,b3879d28c93f44d6a019d078db9e7b5b.jpeg,1fd2e60c60ec4b9ab664ecd6a2883e05.jpeg,bfd19defb7b34e469f55d7790f0bf154.jpg,eddf21a86da34abcae6e187c6733ca40.jpg,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
松竹園,sung-chu-yuan,屹立超過三十年，以自家飼養的土雞料理聞名，尤其是招牌白斬古早雞，皮滑肉嫩。古早味滷肉、清蒸羊肉也大受歡迎，秋冬更可點上一鍋雞湯，暖心也暖胃。也不妨試試檳榔花、川七、紅菜等野菜，或者以甜點手工芋泥捲作結。環境清幽，適合與親友規劃半日遊，造訪絹絲瀑布或冷水坑步道。周末宜提前訂位。,"士林區永公路546號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sung-chu-yuan,40750e25d1b54dd190556e02210e750c.jpeg,306b3e1d00104d65be72d6c11856c2a6.jpeg,1d806ee486a74d3695de998d15c11dc7.jpeg,86214d312e5648d0a1c9c23d7f7a729d.jpeg,19b9a4c79840476cbff74cc632b4bb76.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
辰園,the-dragon,選址地下一樓無減餐廳的吸引力，深棕色木屏風配以同色系的牆身，拼合出帶中國色彩的餐室，傳統中不失時尚，寬敞的環境加上舒適的靠背椅更適合宴客和商務聚餐。菜色由多位擅長廣東菜的廚師負責，叫好之作眾多，包括須預訂的脆皮先知鴨、限量供應的廣式片皮鴨、脆皮叉燒和金瑤炒龍筋，難怪總是座無虛席。,"中正區忠孝東路一段12號B1 (喜來登大飯店), Taipei, 100, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/the-dragon,1886e8a2ca2c4b1e9872597b0f4ec2a7.jpeg,17d9218c8ed4490b9d9136b2afbe2c7a.jpeg,c224df40d2554e458dfaed719acf621f.jpeg,3a4a1ae79ee84a8cb5b8484502caf7a4.jpeg,38719f489a6845f581fe63ba778dd76a.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
五月雪客家私房珍釀,may-snow-hakka-food,掌勺二十多年的老闆冀改變大眾對客家菜油膩厚重的印象，親自研發菜色，並融入多種海鮮與創意。香蔥燜嫩排和紅麴軟絲均很受歡迎，前者選用豬腩排以客家油蔥等燉煮四小時而成，建議預訂；後者則採用來自澎湖的現撈軟絲，以陳年紅麴醃製後油炸，口感軟嫩且帶紅糟香氣。不妨也預訂以臺南放山土雞烹調的山野鹽焗雞。,"大安區敦化南路一段329巷16號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/may-snow-hakka-food,d9a281f9302c43bd8bccbca46d849320.jpeg,6a0411a1db1c428193fe8aa4c95f02bf.jpeg,23bb39603bae4279a2b8a6ebc595184e.jpeg,d098cfee09b449a98405dc804e62f866.jpeg,b180173474344e7fa0956439ce4a2337.jpeg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
美福乾式熟成牛排館,fresh-aged,由臺灣最大肉品進口商經營，乾式熟成室耗資千萬建造，並由有乾式熟成教父美名的陳重光執掌。店內牛排來自美國內布拉斯加州，熟成28天，甚至可客製至128天，建議於訂位時預留喜好的天數和部位。除了單點牛排，另有乾式熟成21天的宜蘭櫻桃鴨胸、美國極黑豬肉、濕式牛排套餐。用餐後更可到訪樓下的肉品超市。,"內湖區民善街128號2樓, Taipei, 114, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/fresh-aged,03524793a4c744b99b620f4c237d65b8.jpg,a2b7599ee3164e8aa9f590659f6986d4.jpg,87ff7b9ab8c548d5896969347f16af19.jpeg,5feab33a9fcd44168af5966ea037f42a.jpeg,409faf7f2ded4e11950894b54ade2d27.jpeg,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
彧割烹,yu-kapo-1198592,搬遷後裝潢風格變得時尚簡約，不變的是餐廳會按不時不食的原則挑選材料。選用日本及宜蘭大溪漁港的漁獲，供應單一割烹套餐，主餐後的釜飯尤其令人回味，全因主廚會根據時令或客人喜好而調整主食材。餐廳設有小型包廂，極具隱私性，商務宴請或朋友聚會皆適宜。建議提前訂位。,"松山區三民路9之1號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yu-kapo-1198592,0e52a8ef87394125a8328b7ca2df4b6e.jpeg,3a85d7e9400d4b2aa937c6f52d2cc953.jpeg,d3cf8d73435d4496950d34fb4f8796fd.jpeg,dbe685949b9a4d4aaa1b8e8d7113c6d2.jpeg,6ff1d56cae054179abf97ea0caf351c9.jpeg,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
